Date,Open,High,Low,Close,Adj Close,Volume
2022-07-19,245.0,247.14,236.977,245.53,245.53,80890110
2022-07-20,246.783,250.663,243.483,247.5,247.5,88864089
2022-07-21,255.107,273.267,254.867,271.707,271.707,142032177
2022-07-22,276.22,280.787,270.713,272.243,272.243,103472847
2022-07-25,272.217,274.147,267.4,268.433,268.433,64073505
2022-07-26,266.513,267.31,256.263,258.86,258.86,66820758
2022-07-27,263.81,275.926,261.79,274.82,274.82,88109988
2022-07-28,280.067,283.3,272.8,280.9,280.9,84722991
2022-07-29,280.7,298.32,279.1,297.15,297.15,95312883
2022-08-01,301.275,311.878,295.0,297.277,297.277,117042888
2022-08-02,294.003,307.833,292.667,300.587,300.587,95577468
2022-08-03,305.0,309.55,301.15,307.397,307.397,80091105
2022-08-04,311.0,313.607,305.0,308.633,308.633,72256317
2022-08-05,302.67,304.607,285.545,288.17,288.17,113172897
2022-08-08,295.0,305.2,289.085,290.423,290.423,99365274
2022-08-09,290.293,292.397,279.353,283.333,283.333,86244681
2022-08-10,297.067,297.51,283.37,294.357,294.357,94918872
2022-08-11,296.513,298.237,285.833,286.63,286.63,70155045
2022-08-12,289.415,300.16,285.033,300.03,300.03,79657287
2022-08-15,301.787,313.133,301.23,309.32,309.32,89359167
2022-08-16,311.667,314.667,302.883,306.563,306.563,88136322
2022-08-17,303.397,309.657,300.033,303.997,303.997,68765970
2022-08-18,306.0,306.5,301.853,302.87,302.87,47500536
2022-08-19,299.0,300.36,292.5,296.667,296.667,61395387
2022-08-22,291.913,292.4,286.297,289.913,289.913,55843347
2022-08-23,291.453,298.827,287.923,296.453,296.453,63985044
2022-08-24,297.563,303.647,296.5,297.097,297.097,57259716
2022-08-25,302.36,302.96,291.6,296.07,296.07,53230013
2022-08-26,297.43,302.0,287.47,288.09,288.09,57163947
2022-08-29,282.83,287.74,280.7,284.82,284.82,41864742
2022-08-30,287.865,288.48,272.65,277.7,277.7,50541759
2022-08-31,280.62,281.25,271.81,275.61,275.61,52107337
2022-09-01,272.575,277.58,266.15,277.16,277.16,54287024
2022-09-02,281.065,282.35,269.08,270.21,270.21,50890090
2022-09-06,272.675,275.99,265.74,274.42,274.42,55859984
2022-09-07,273.1,283.84,272.27,283.7,283.7,50028916
2022-09-08,281.3,289.5,279.76,289.26,289.26,53713124
2022-09-09,291.67,299.85,291.245,299.68,299.68,54470854
2022-09-12,300.72,305.49,300.4,304.42,304.42,48674604
2022-09-13,292.9,297.3999,290.4,292.13,292.13,68229619
2022-09-14,292.13,306.0,291.64,302.61,302.61,72628653
2022-09-15,301.825,309.12,300.7247,303.75,303.75,64795523
2022-09-16,299.605,303.71,295.6005,303.35,303.35,87087786
2022-09-19,300.09,309.84,297.8,309.07,309.07,60231156
2022-09-20,306.91,313.33,305.58,308.73,308.73,61642783
2022-09-21,308.29,313.8,300.63,300.8,300.8,62555656
2022-09-22,299.86,301.29,285.82,288.59,288.59,70545413
2022-09-23,283.09,284.5,272.82,275.33,275.33,63748362
2022-09-26,271.83,284.09,270.31,276.01,276.01,58076913
2022-09-27,283.84,288.67,277.51,282.94,282.94,61925185
2022-09-28,283.08,289.0,277.57,287.81,287.81,54664809
2022-09-29,282.76,283.65,265.78,268.21,268.21,77620642
2022-09-30,266.145,275.57,262.47,265.25,265.25,67726598
2022-10-03,254.5,255.16,241.01,242.4,242.4,98363541
2022-10-04,250.53,257.5,242.01,249.44,249.44,109578535
2022-10-05,245.01,246.6697,233.27,240.81,240.81,86982673
2022-10-06,239.44,244.58,235.35,238.13,238.13,69298437
2022-10-07,233.935,234.5715,222.02,223.07,223.07,83916800
2022-10-10,223.93,226.99,218.3582,222.96,222.96,67925018
2022-10-11,220.945,225.75,215.0,216.5,216.5,77013202
2022-10-12,215.33,219.2999,211.51,217.24,217.24,66860699
2022-10-13,208.3,222.99,206.22,221.72,221.72,91483045
2022-10-14,224.01,226.26,204.16,204.99,204.99,94124511
2022-10-17,210.04,221.86,209.45,219.35,219.35,79428810
2022-10-18,229.5,229.82,217.25,220.19,220.19,75891905
2022-10-19,219.8,222.93,217.78,222.04,222.04,66571479
2022-10-20,208.28,215.55,202.0,207.28,207.28,117798062
2022-10-21,206.415,214.66,203.8,214.44,214.44,75713754
2022-10-24,205.82,213.5,198.5863,211.25,211.25,100446765
2022-10-25,210.1,224.3498,210.0,222.415,222.415,96507870
2022-10-26,219.4,230.6,218.2,224.64,224.64,85327078
2022-10-27,229.77,233.81,222.85,225.09,225.09,61638824
2022-10-28,225.4,228.86,216.35,228.52,228.52,69152386
2022-10-31,226.19,229.85,221.94,227.54,227.54,61554341
2022-11-01,234.05,237.3951,227.28,227.82,227.82,62688822
2022-11-02,226.04,227.8699,214.82,214.98,214.98,63070293
2022-11-03,211.36,221.2,210.14,215.31,215.31,56538848
2022-11-04,222.6,223.8,203.08,207.47,207.47,98622212
2022-11-07,208.65,208.9,196.66,197.08,197.08,93916520
2022-11-08,194.02,195.2,186.75,191.3,191.3,128803404
2022-11-09,190.775,195.89,177.12,177.59,177.59,127062659
2022-11-10,189.9,191.0,180.03,190.72,190.72,132703015
2022-11-11,186.0,196.52,182.59,195.97,195.97,114403575
2022-11-14,192.77,195.73,186.34,190.95,190.95,92226649
2022-11-15,195.88,200.8237,192.06,194.42,194.42,91293785
2022-11-16,191.51,192.57,185.66,186.92,186.92,66567599
2022-11-17,183.96,186.16,180.9,183.17,183.17,64335970
2022-11-18,185.05,185.19,176.55,180.19,180.19,76048866
2022-11-21,175.85,176.77,167.54,167.87,167.87,92882712
2022-11-22,168.63,170.92,166.185,169.91,169.91,78452327
